RECORD,hbpermin,Pseg,PQseg,QRSseg,QRseg,QTseg,RSseg,STseg,Tseg,PTseg,ECGseg,QRtoQSdur,RStoQSdur,RRmean,PPmean,PQdis,PonQdis,PRdis,PonRdis,PSdis,PonSdis,PTdis,PonTdis,PToffdis,QRdis,QSdis,QTdis,QToffdis,RSdis,RTdis,RToffdis,STdis,SToffdis,PonToffdis,PonPQang,PQRang,QRSang,RSTang,STToffang,RRTot,NNTot,SDRR,IBIM,IBISD,SDSD,RMSSD,QRSarea,QRSperi,PQslope,QRslope,RSslope,STslope,NN50,pNN50,ECG_signal
1,74.9256689791873,0.0765079365079365,0.108888888888889,0.0882539682539683,0.0435714285714286,0.193015873015873,0.0446825396825397,0.104761904761905,0.13047619047619,0.301904761904762,0.426111111111111,0.00137136049434437,0.00140641728343341,291.794117647059,291.735294117647,39.1511506979774,55.14889298958,54.8270692788666,70.8273851823589,70.9137287029911,86.9127400181215,108.647070378104,124.647077289333,137.911820379588,15.7214006162708,31.764732194123,69.501919735525,98.7656985714098,16.1291065259356,53.8277114430342,83.0915966937433,37.7383429598512,67.0012311094264,153.911764909733,1.2454553357965,-5.12708054197395,8.3563540974331,-4.77444354747295,0.870489841494288,35,34,17.13232138346,291.794117647059,17.3899647337275,27.1584812492327,292.296636192433,18.4576177115752,63.6152393363293,-0.0143636322274423,0.0752699748189037,-0.0708458973979674,0.0126064214098441,2,5.88235294117647,ARR
2,68.5034687809713,0.0724826388888889,0.0961805555555556,0.0939236111111111,0.0462673611111111,0.193489583333333,0.04765625,0.0995659722222222,0.0891493055555556,0.289670138888889,0.366666666666667,0.00136838005404182,0.00140939772373596,318.387096774194,318.322580645161,34.5884367978634,46.4870059908102,51.2623885563342,63.1671308169375,68.4225952456808,80.3239679419041,104.225842475951,116.129083471518,119.935662498404,16.7360666529721,33.8387869542668,69.6481826036417,85.3564671831402,17.2129195617323,52.9730592300722,68.6829554372704,35.8111616311003,51.5181778592722,131.838710435248,2.1515929638225,-6.00333694942415,9.21743026146488,-5.3556916586856,1.3703197663702,32,31,10.612461996907,318.387096774194,10.7878864762128,9.66551717303437,318.563914688929,23.043230074134,67.7877731689711,-0.0212074266514511,0.0837725999172961,-0.0774581732326055,0.0161751716477693,1,3.2258064516129,ARR
3,83.4886025768087,0.0711538461538462,0.0866096866096866,0.0395299145299145,0.0185897435897436,0.132478632478632,0.0209401709401709,0.0929487179487179,0.0944444444444444,0.219088319088319,0.293233618233618,NaN,NaN,259.763157894737,259.526315789474,31.2662260285337,42.5378226006909,38.1312675818756,49.4060277020313,45.8673232760615,57.1412099642958,79.238233889807,90.5267246111375,94.7652392129329,6.89606654286295,14.6064419388183,48.0130211591047,63.5318395615157,7.7513185309449,41.1427771656325,56.6642433619343,33.4080473168295,48.9260730509781,106.052868134833,NaN,NaN,NaN,NaN,2.99956527177628,39,38,84.5129806941938,259.763157894737,85.6474338804072,111.816693623864,273.165411619523,10.7563531016812,29.2538270126262,-0.0425419383229341,NaN,NaN,0.0271314445123928,16,42.1052631578947,ARR
4,68.5034687809713,0.0828125,0.108159722222222,0.0903645833333333,0.0452256944444444,0.188802083333333,0.0451388888888889,0.0984375,0.08828125,0.296961805555556,0.373177083333333,0.00139020412457912,0.00138757365319865,312.838709677419,312.838709677419,38.9416662018018,54.7771776472923,55.2315851289956,71.070509807462,71.4867519692422,87.3241234963178,106.903235943317,122.741967977873,118.451693197455,16.3585546747765,32.5484316522114,67.9709056301351,79.518074094908,16.32175080625,51.6841880072131,63.23273065985,35.42450991958,46.9704492752313,134.29032444588,NaN,-6.25318001451647,10.2938612080757,-6.03596115958712,1.46261725632905,32,31,11.41616503654,312.838709677419,11.6048747636314,11.19325193538,313.046940724189,23.8450855369231,65.228737133238,-0.0178060249869761,0.0915909429037455,-0.0885589448227484,0.0170217392185559,2,6.45161290322581,ARR
5,82.08,0.0707602339181286,0.102631578947368,0.101023391812866,0.0494152046783626,0.193713450292398,0.0516081871345029,0.0926900584795322,0.0859649122807017,0.296345029239766,0.375073099415205,0.00135881181933813,0.00141896595843964,260.783783783784,260.864864864865,37.0051303991564,49.9747990334866,54.7864191962379,67.7606287885312,73.3810322662152,86.3524523751101,106.756792297639,119.729780580552,122.189359023001,17.821021544077,36.3783861509402,69.7588191827652,85.1901908346477,18.6309448647275,51.9766142204581,67.4094541518783,33.3828223656536,48.812632401243,135.162163001791,1.79138491018999,-4.64693074957469,7.25462769495253,-4.48919310078312,1.38235737766099,38,37,35.7711458045373,260.783783783784,36.2645642276123,60.2459977667694,263.225676476967,20.9427911911196,72.8303525597448,-0.0166501936736018,0.0645467091832313,-0.062245938498221,0.0161911277925654,2,5.40540540540541,ARR
6,66.96,0.0702508960573477,0.0619175627240143,0.0909498207885305,0.0459677419354839,0.191218637992832,0.0449820788530466,0.100268817204301,0.0971326164874552,0.253136200716846,0.330286738351254,0.00140382317801673,0.00137395459976105,313.933333333333,313.933333333333,22.2794820639858,37.6391565183524,38.8404768984486,54.207101381199,55.0374107190808,70.4021444202235,91.1333534250425,106.500046330799,103.533459136225,16.6340633716438,32.7667812611823,68.8701931888416,81.268809673712,16.2615554509722,52.3060805458946,64.7063170319406,36.1052627398048,48.5026708097384,118.900017417784,NaN,-7.10419411024672,10.1368608958677,-5.95774604342052,1.47047247564633,31,30,39.668571382841,313.933333333333,40.3467157432221,13.811711585905,316.429665697345,23.7871288135193,65.6624000837983,-0.0340299298076348,0.090221997128748,-0.0871675580098417,0.0170377379710203,3,10,ARR
7,69.12,0.0852430555555556,0.0986111111111111,0.113368055555556,0.0550347222222222,0.197569444444444,0.0583333333333333,0.0842013888888889,0.100086805555556,0.296180555555556,0.412152777777778,0.00134823848238482,0.00142953929539295,306.741935483871,306.741935483871,35.4908101543419,50.0678697873772,55.2940268429545,69.8752371915465,76.2923747352499,90.8719843134053,106.613076018837,121.193971391912,133.516230668273,19.8512929122037,40.8069177366891,71.1344764174455,98.0337217149842,21.0341384851586,51.3246156642296,78.2299276314289,30.3319642190825,57.2272809442622,148.096780659004,NaN,-4.97429483277522,7.05958921755357,-4.61127372665881,2.13255398582549,32,31,8.59470107545823,306.741935483871,8.73677187499473,8.60884558011248,306.862320709089,25.6747760608009,81.6923491340514,-0.019779272954122,0.0671436454819038,-0.0562360820712975,0.0243159714010648,2,6.45161290322581,ARR
8,59.9405351833499,0.0700396825396825,0.0564484126984127,0.00337301587301587,0.00168650793650794,0.101686507936508,0.00168650793650794,0.0983134920634921,0.0975198412698413,0.158134920634921,0.229960317460317,NaN,NaN,365.740740740741,365.777777777778,20.4149412089895,35.6078092596714,21.0442032306845,36.2370712813664,21.6735873269476,36.8664553776295,57.0022364903213,72.2225492115867,67.7057228297579,0.632837582243373,1.25927446338262,36.6395222983374,47.3417156419668,0.632245278632225,36.010168776805,46.7124012705303,35.3804014832457,46.0825379804391,82.9262268461777,NaN,NaN,NaN,NaN,NaN,28,27,48.7499991206781,365.740740740741,49.6786539770218,76.0770494671113,368.975408193896,1.02926617497633,2.52435732425822,-0.0660711824531302,NaN,NaN,0.0238987733081077,5,18.5185185185185,ARR
9,94.1922695738355,0.0554924242424242,0.0930555555555556,0.111237373737374,0.0553661616161616,0.179861111111111,0.0558712121212121,0.0686237373737374,0.0901515151515151,0.272916666666667,0.357007575757576,0.00138241755513451,0.00139536022264326,227.720930232558,228.232558139535,33.5622974335851,41.9797049139912,53.5162326697994,61.9348809662449,73.631339450238,82.0492482323371,98.3256601148882,106.744333657729,120.372128362737,19.9896072612433,40.0702899249314,64.7704804500144,86.8149575770574,20.1647387806903,44.8175575164522,66.8649987182467,24.7115632663045,46.7482374262264,128.790710606334,NaN,-4.30034579781501,7.32216584267176,-5.83869711434986,2.46282677931138,44,43,8.44772043394052,227.720930232558,8.54769693681216,7.50177605577037,227.877568107332,25.5245150887794,80.2246359668649,-0.0158329835585364,0.0593023592073669,-0.0686891229407826,0.0333456753178988,0,0,ARR
10,68.7761194029851,0.0460069444444444,0.0861111111111111,0.112760416666667,0.0652777777777778,0.166059027777778,0.0474826388888889,0.0532986111111111,0.0893229166666667,0.252170138888889,0.340625,0.00160598176018828,0.0011717960175895,307.612903225806,307.645161290323,31.0993895033254,37.8407405572834,54.5538623944041,61.2957414316867,71.6504309179042,78.3916074740359,90.8064791911601,97.5484575951651,116.096831609186,23.4811676392207,40.5511376144221,59.7115010823879,85.00048575686,17.1748658744328,36.2649081859698,61.5547370865581,19.184119680978,44.4579780885127,122.838744393475,NaN,-3.60854850328761,8.31786529156614,-8.23917897813815,3.19801852486597,32,31,9.35216869572055,307.612903225806,9.50676046945835,12.9832798458462,307.755034549108,29.0572027421144,81.2071711280756,-0.0129328030936568,0.0500941480366068,-0.0954171187866217,0.0487150927804972,4,12.9032258064516,ARR
